Poste,Date de Soumission,État,Lien,Date de réponse,CV utilisé,Contact Email,Entreprise,Mois,Catégorie Poste
Sales Operations Specialist,2025-07-23,Refus,https://www.linkedin.com/jobs/view/4273903204/?eBP=CwEAAAGYN0OphSPP6c9PBQVuY7qUDnm2v37DzbG6k2hdZlmf-HeV8-oXXkWkp5L_8l3fL3p5wmQ8W1_HWGpcAIFQd44N9jQFXQzj4PQlKCt1wMFwtOZvn0mnoTzkX9MxEhz8hIXgXIduKhsOmOT7Ed2DlDUVjXEnPb6pDlEf22jl4coFhREiRtT9H6pHzxD6OjOOKblt6Sc65N9YU2FmupRfpgDyOnVIG7MyJf9HVgpluRczl_iXy_PGgqi3Gh6e5Dp7EoEgyl_RFXyxNP-jeu_1rliwUYqYH5TKp3uJQMVD0uULZqc6lpmZGjSCGsSNW1HM_YmJMaYGbVmdvPrGuNZJwLUgCPDUuXv27UShjKXipInT1f4uhAGejaTru6NhvgITR1yLyQPg9KICuxGKlabULzTZGzcZiUh7u8VlCB6qFgGIcubcfbTIjcUtxiMJpBo4Bgg7ANQSJnw3aoaz1V_ppL2ODAMHGRCQWrGNntx7628eKATENxeVjNDnOlf32NolewswZV4&refId=c2XIstpY26q4Ce1r0cJgpw%3D%3D&trackingId=BiebecKINaE1ZmeNc7ty%2BA%3D%3D&trk=flagship3_search_srp_jobs,2025-07-24,CV2,,Biggie Group,7.0,Autre
Ingénieur Machine Learning & Data Scientist F/H - Paris,2025-07-22,Candidature envoyée,https://jobs.makesense.org/fr/jobs/clean-horizon-ingenieur-machine-learning-et-data-scientist-fh-WlErNHDJ6dvAgqxovhvP?utm_campaign=jobs_digest_22-07-25&utm_medium=email&utm_source=jobs_digest,,CV1,,Clean Horizon,7.0,Data Scientist
Data Scientist,2025-07-22,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/fondation-fondamental/jobs/data-scientist_creteil?sp_ref=9644741d-e4eb-41db-bcb6-a41502c79da4&sp_src=job_alert_email&utm_campaign=meilisearch&utm_medium=email&utm_source=job_alerts,,CV1,,Fondation Fondamental,7.0,Data Scientist
Machine Learning Engineer,2025-07-21,Refus,https://www.welcometothejungle.com/fr/companies/wiremind/jobs/machine-learning-engineer-h-f-cdi-paris_paris,2025-07-23,CV1,,WIREMIND,7.0,Data Scientist
Demand Planner,2025-07-21,Candidature envoyée,https://sud-express.talentview.io/jobs/i7dy8f?source=linkedin,,CV1,,Sud Express,7.0,Autre
Chef de Projet Junior,2025-07-21,Refus,https://www.welcometothejungle.com/fr/companies/polynom/jobs/cdi-chef-de-projet-junior_rueil-malmaison,2025-07-21,CV1,,Polynom,7.0,Autre
Stage – Data Analyst (H/F) – 6 mois,2025-07-21,Refus,https://www.welcometothejungle.com/fr/companies/my-job-glasses/jobs/stage-data-analyst-h-f-6-mois_paris,2025-07-22,CV1,,My Job Glasses,7.0,Data Analyst
Operations Analyst - Stage,2025-07-21,Refus,https://www.welcometothejungle.com/fr/companies/sidecare/jobs/operations-analyst-stage_paris,2025-07-22,CV1,,Sidecare,7.0,Autre
Business & Innovation Analyst,2025-07-20,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/karetis/jobs/business-innovation-analyst_neuilly-sur-seine,,CV1,,Karetis,7.0,Autre
Technical Business Analyst,2025-07-20,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/add-value-assurances/jobs/technical-business-analyst-h-f_paris,,CV1,,Add Value Assurance Digitale,7.0,Data Analyst
Data Analyst,2025-07-20,Refus,https://www.welcometothejungle.com/fr/companies/jolimoi/jobs/data-analyst_paris_JOLIM_y4l02R2,2025-07-23,CV1,,Jolimoi,7.0,Data Analyst
Junior Data Engineer,2025-07-20,Candidature envoyée,https://www.linkedin.com/jobs/view/4267777048/?refId=ByteString(length%3D16%2Cbytes%3D21537849...f6be74cf)&trackingId=b6QNniibBmDS9G77JCizWA%3D%3D,,CV1,,DoubleVerify,7.0,Data Engineer
Analyste de données,2025-07-18,Candidature envoyée,https://www.linkedin.com/jobs/view/4267448829/?trackingId=XY5%2FwZggOoliK4QvAoengQ%3D%3D&refId=ByteString%28length%3D16%2Cbytes%3Db8d257ee...5b0a7966%29&midToken=AQF6cDKQRpkL-Q&midSig=09W-fhK0wLOHQ1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114-null-5mjdi4~mda1dfch~jx-null-null&eid=5mjdi4-mda1dfch-jx&otpToken=MTEwMTFlZTExYTI4Y2FjZGIyMjQwNGVkNDMxY2VlYjU4OWM5ZDU0Njk4YWE4YTYxNzhjZTA4Njg0ZjU5NWFmNmY0ZGY4ZWIyMTVlZmJhZTU1NzkyNWM5ZTFiNmZiMzRiMTVjYzU1OTE3ZGQ1M2VkM2NlYmIsMSwx,,CV1,,Ricoh France,7.0,Data Analyst
DAta Analyst,2025-07-18,Refus,https://www.linkedin.com/jobs/view/4267592556/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=bi4ZYV6zDHyQarHEunM7QQ%3D%3D&trackingId=gFzVKE09NnHRRad6hD26ow%3D%3D&trk=flagship3_search_srp_jobs,2025-07-28,CV1,,Elax Energie,7.0,Data Analyst
Data Analyst,2025-07-18,Refus,https://www.linkedin.com/jobs/view/4228436664/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=bi4ZYV6zDHyQarHEunM7QQ%3D%3D&trackingId=EFPWavGm4mMR55gc1u%2BqtA%3D%3D,2025-07-21,CV1,,Avisia,7.0,Data Analyst
Operations Analyst,2025-07-18,Candidature envoyée,https://www.linkedin.com/jobs/view/4261728917/?refId=808c1231-10f8-41e1-95f9-d673bcbbedcb&trackingId=nYH2NPcTTX6R3%2B49N8YrmQ%3D%3D&trk=flagship3_job_home_savedjobs,,CV1,,Ankorstore,7.0,Autre
Business Analyst,2025-07-18,Refus,https://jobs.worldline.com/job/Business-Analyst-%2528FH%2529/299987-en_US?src=LinkedIn,2025-07-24,CV1,,Worldline,7.0,Data Analyst
Data Analyst - CDD 1 an,2025-07-18,Candidature envoyée,https://catalina.wd1.myworkdayjobs.com/fr-FR/Catalina/job/Data-Analyst-F-H_R0002554,,CV1,,Catalina,7.0,Data Analyst
BUSINESS DATA ANALYST,2025-07-18,Candidature envoyée,https://talents.hermes.com/fr/sites/CX/job/16883?mode=job-location&utm_source=linkedin&utm_medium=jobboard,,CV1,,Hermès,7.0,Data Analyst
Stage - Assistant Data Analyst,2025-07-17,Candidature envoyée,https://www.hellowork.com/fr-fr/emplois/67760543.html?_gl=1*gtg0mk*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwvuLDBhAOEiwAPtF0VhAIQZjIIBOTCq08sadX7thAfyXPDRAULKfIDFAP0TES3mH2AQI0RRoCY3EQAvD_BwE&gbraid=0AAAAADnF6J4AutQfzppBPPcBQaRVLHB4I,,CV1,,Monoprix,7.0,Data Analyst
Stagiaire data Engineer - Stage 6 mois,2025-07-17,Candidature envoyée,https://brutfrance.teamtailor.com/jobs/5996366-stagiaire-data-engineer-stage-6-mois,,CV1,,Brut,7.0,Data Engineer
Stage - Internship Demand Planner - Data Analyst,2025-07-17,Candidature envoyée,https://www.hellowork.com/fr-fr/emplois/67758083.html?_gl=1*gtg0mk*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwvuLDBhAOEiwAPtF0VhAIQZjIIBOTCq08sadX7thAfyXPDRAULKfIDFAP0TES3mH2AQI0RRoCY3EQAvD_BwE&gbraid=0AAAAADnF6J4AutQfzppBPPcBQaRVLHB4I,,CV1,,Coty,7.0,Data Analyst
Data Analyst - 6 months Internship,2025-07-17,Candidature envoyée,https://www.deezerjobs.com/fr/details-doffre/?jid=REF1715C,,CV1,,Deezer,7.0,Data Analyst
Data Analyste,2025-07-17,Candidature envoyée,https://www.hellowork.com/fr-fr/emplois/68145623.html#postuler,,CV1,,Spirica,7.0,Data Analyst
Data Analyste et Suivi Réclamations Clients - Mazda Automobiles France,2025-07-17,Refus,https://www.hellowork.com/fr-fr/emplois/68152049.html?_gl=1*18c3q11*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwvuLDBhAOEiwAPtF0VhAIQZjIIBOTCq08sadX7thAfyXPDRAULKfIDFAP0TES3mH2AQI0RRoCY3EQAvD_BwE&gbraid=0AAAAADnF6J4AutQfzppBPPcBQaRVLHB4I#postuler,,CV1,,Mazda,7.0,Data Analyst
Analytics Engineer - Stage - Paris,2025-07-16,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/corail-analaytics/jobs/data-analytics-engineer-internship,,CV1,,Corail Analytics,7.0,Analytics Engineer
BUSINESS ANALYST,2025-07-16,Refus,https://jobs.adidas-group.com/job/Paris-Business-Analyst-%28HFD%29/1225593601/?feedId=301201&utm_source=j2w,2025-07-30,CV1,,Adidas,7.0,Data Analyst
ANALYSTE DE DONNÉES,2025-07-16,Candidature envoyée,https://www.linkedin.com/jobs/view/4262815546/?eBP=CwEAAAGYFKvXFFzi9vsoosvIU3mQv__fXju6YnLsKDwMnqfGhZNfCFCpODKaFG5xvUSyTQkJwyA3MyWnEuncR7i6_RS3zR99Bw48X3bvfTozcP9g1vuAqhDf9C5WhAiwbrG8bxylk08RPOfkU7cal7TXRAmJ-3GP8sCF9fl0tjNcBMoofTzwv98V_QbPasxvcGBE8svVy0kPiLIM_7LyXtYobMIzhZkdhu0FnZ_5b6aoHM7WPZvpL6cCQcPESxfNpbxIKxDMZo9IYGAHDXbjaQ9FqAwcWx-O5sJ8l61doE0jflYLVfz3eiyiEsFnT62burG56c-LWbWysKOpAV9mctS9A6oRLZhizDYNIHxvi1IE_fph8TF_qJiBaJeINd4M2J4QVEI2pB3BzNOHU33k_L26tVzMaJlkWeSJQ60dt6TOv_Q5Aw&refId=T4vng95M2ScH0Zb0T3PaqA%3D%3D&trackingId=OKiXNKjR4M4vegjBIkwRPg%3D%3D&trk=flagship3_search_srp_jobs,,CV1,,Département de l’essonne,7.0,Data Analyst
Data Analyst Junior,2025-07-16,Refus,https://www.linkedin.com/jobs/view/4267291411/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=T4vng95M2ScH0Zb0T3PaqA%3D%3D&trackingId=qkbMKLqgItcMzVV7qRGhaA%3D%3D&trk=flagship3_search_srp_jobs,2025-07-23,CV1,,Keyence Corporation,7.0,Data Analyst
Stage Data & Tech,2025-07-16,Candidature envoyée,https://jobs.jobvite.com/groupm-emea/job/oRcYufwf,,CV1,,WPP Media,7.0,Autre
Health Data Scientist Internship,2025-07-16,Candidature envoyée,https://apply.workable.com/withings/j/25FD9C98E0/,,CV1,,Withings,7.0,Data Scientist
Data analyst in Competitive/Business Intelligence,2025-07-16,Candidature envoyée,https://www.linkedin.com/jobs/view/4266654931/?trackingId=fMjnEXGuv1VXqqlhCqwE0g%3D%3D&refId=ByteString%28length%3D16%2Cbytes%3D0a63ec6f...6aac57a7%29&midToken=AQF6cDKQRpkL-Q&midSig=0oy9YO4hZfKrQ1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114-null-5mjdi4~md5r1vhx~1z-null-null&eid=5mjdi4-md5r1vhx-1z&otpToken=MTEwMTFlZTExYTI4Y2FjZGIyMjQwNGVkNDMxY2UxYjE4OGNiZDU0NzlmYWY4OTYxNzhjZTA4Njg0ZjU5NWFmNmY0ZGY5MmIyNzRjMmViYzA1MmJkMmZkN2M2OWEwNDE4MjQ5MzYwNzY2N2YwODM2MjU2ZTYsMSwx,,CV1,,Servier,7.0,Data Analyst
Data Analyst,2025-07-16,Candidature envoyée,https://recruiterflow.com/licornesociety/jobs/14168?source=linkedin_basic&utm_channel=recruiterflow-posting&location=1,,CV1,,Leonar,7.0,Data Analyst
Voice of Client Analyst,2025-07-15,Candidature envoyée,https://jobs.richemont.com/Richemont/job/Paris-Voice-of-Client-Analyst-HF-75/1194851901/?feedId=337801&utm_source=LinkedInJobPostings&utm_campaign=Richemont_LinkedIn,,CV1,,Richemont,7.0,Autre
BI & Analytics Specialist,2025-07-15,Refus,https://pernodricard.wd3.myworkdayjobs.com/fr-FR/pernod-ricard/job/Paris/BI---Analytics-Specialist_JR-045393-1,,CV1,,Pernot Ricard,7.0,Autre
Stage - Data Analyst,2025-07-15,Refus,https://tessan1.recruitee.com/o/stage-data-analyst-hf-3,,CV1,,Tessan,7.0,Data Analyst
Product Data Analyst,2025-07-15,Refus,https://www.hellowork.com/fr-fr/emplois/68037003.html,,CV1,,Matera,7.0,Data Analyst
Business Analyst Data,2025-07-15,Candidature envoyée,https://www.hellowork.com/fr-fr/emplois/67375564.html,,CV1,,Lgis Hotel,7.0,Data Analyst
Data Analyst / Data Engineer – Stage,2025-07-15,Refus,https://www.welcometothejungle.com/fr/companies/vente-unique/jobs/data-analyst-data-engineer-stage-h-f_paris_VENTE_OyXJXJq,,CV1,,vente-unique.com,7.0,Data Engineer
Stage – Business & Strategy Analyst,2025-07-15,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/faume/jobs/stage-business-strategy-analyst-h-f_paris,,CV1,,Faume,7.0,Autre
Intern Data Scientist: International Trade Flows,2025-07-15,Refus,https://www.welcometothejungle.com/fr/companies/quantcube-technology/jobs/intern-data-scientist-international-trade-flows_paris_QT_KVYZWP0,,CV1,,QUANTCUBE TECHNOLOGY,7.0,Data Scientist
Consultant·e Junior (Analyst) en Transformation Digitale - CTO Advisory / Digital Workplace – CDI,2025-07-15,Candidature envoyée,https://jobs.smartrecruiters.com/Wavestone1/743999839429810-cto-advisory-future-of-work,,CV1,,Wavestone,7.0,Autre
Data Analyst junior,2025-06-20,Candidature envoyée,https://www.linkedin.com/jobs/collections/similar-jobs/?currentJobId=4253703417&originToLandingJobPostings=4253703417&referenceJobId=4240433586,,CV1,,Galileo Global Education,6.0,Data Analyst
Data Scientist – IA Générative & NLP,2025-06-17,Sans réponse,https://www.welcometothejungle.com/fr/companies/jobglober/jobs/data-scientist-ia-generative-nlp_paris,2025-07-17,CV1,,Jobglober,6.0,Data Scientist
Customer Succes Manager en CDD,2025-06-17,Sans réponse,https://www.welcometothejungle.com/fr/companies/groupe-imagine-human/jobs/customer-succes-manager-en-cdd_paris,2025-07-17,CV1,,GROUPE IMAGINE HUMAN,6.0,Autre
Customer Success Manager,2025-06-17,Refus,https://www.welcometothejungle.com/fr/companies/boondmanager/jobs/customer-success-manager-paris_paris,,CV1,,Boondmanager,6.0,Autre
Data Analyst,2025-06-17,Sans réponse,https://www.welcometothejungle.com/fr/companies/leasecom/jobs/data-analyst-h-f_paris_LEASE_6LWWox3?sp_ref=9644741d-e4eb-41db-bcb6-a41502c79da4&sp_src=job_alert_email&utm_medium=email&utm_source=job_alerts&utm_campaign=meilisearch,2025-07-17,CV1,,Leasecom,6.0,Data Analyst
Business Data Analyst et Intelligence Artificielle (H/F),2025-06-16,Sans réponse,https://www.welcometothejungle.com/fr/companies/kiwee-care/jobs/business-data-analyst-et-intelligence-artificielle-h-f_rueil-malmaison_KIWEE_a9Y2pZD?q=5991eaaf7bd8933c4a68dfc88cf96892&o=df443838-1ce7-4b33-95a0-bc21ec32bc47,2025-07-16,CV1,,Kiwee.care,6.0,Data Scientist
Junior Data Engineer,2025-06-16,Refus,https://www.welcometothejungle.com/fr/companies/kovalee/jobs/junior-data-engineer_paris?q=5991eaaf7bd8933c4a68dfc88cf96892&o=d7c9a341-b589-4ab2-905f-110de1f55460,,CV1,,Kovalee,6.0,Data Engineer
Junior Data Scientist,2025-06-15,Refus,https://www.welcometothejungle.com/fr/companies/ornikar/jobs/junior-data-scientist_paris?q=2dbd6e2163faa3938c7b80b527114940&o=9f78ab7d-7f92-4fc6-8a16-19e7e7070eb6,,CV1,,Ornikar,6.0,Data Scientist
Data Analyst,2025-06-15,Sans réponse,https://www.welcometothejungle.com/fr/companies/colas-digital-solutions/jobs/data-analyst-f-h_velizy-villacoublay,2025-07-15,CV1,,Colas,6.0,Data Analyst
Data Analyst,2025-06-15,Sans réponse,https://www.welcometothejungle.com/fr/companies/hotelbb/jobs/business-analyst-data-analyst_paris?referrer=linkedin,2025-07-15,CV1,,B&B Hotels,6.0,Data Analyst
Product Data Analyst,2025-06-12,Refus,https://www.welcometothejungle.com/fr/companies/matera/jobs/cdi-product-data-analyst-paris_paris?sp_ref=9644741d-e4eb-41db-bcb6-a41502c79da4&sp_src=job_alert_email&utm_medium=email&utm_source=job_alerts&utm_campaign=meilisearch,,CV1,camille.kerdiles@matera.eu,Matera,6.0,Data Analyst
nan,,Pas encore candidaté,,,CV3,,Nom de l’entrepriseubis,,Autre
In-house Analyst Consultant,2025-06-06,Refus,https://www.linkedin.com/jobs/view/4215368197/?refId=36e6f662-6b9e-4218-b43d-4f8e214232bb&trackingId=%2BSs8PxjlR4yIV21a%2F7Hiug%3D%3D&trk=flagship3_job_home_savedjobs,,CV1,,Pic Nic,6.0,Autre
Data Analyst,2025-06-06,Sans réponse,https://sec.wd3.myworkdayjobs.com/fr-FR/Samsung_Careers/job/6-rue-Fructidor-Saint-Ouen-France/Stage-Data-Analyst-Junior--H-F----6-mois_R99960?source=SRC_02_12,2025-07-06,CV1,,Samsung,6.0,Data Analyst
Data Scientist - STAGE,2025-06-06,Sans réponse,https://www.linkedin.com/jobs/view/4245576192/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=IqOnkBBd0T2V7BktCt4ItA%3D%3D&trackingId=b4yy5AQjko9KdVprfan91w%3D%3D&trk=flagship3_search_srp_jobs,2025-07-06,CV1,,Sony Music Entertainment France,6.0,Data Scientist
Support fonctionnel en contrôle de gestion /Finance - Junior,2025-06-06,Sans réponse,https://www.welcometothejungle.com/fr/companies/qotid/jobs/support-fonctionnel-en-controle-de-gestion-finance-junior-h-f-cdi_paris?q=890144a46be1008b8b52984cbf745467&o=e59db3c4-0d68-4a93-ab25-5e5844a7d9d6,2025-07-06,CV1,,Quotid,6.0,Autre
Data Analyst Junior,2025-06-04,Sans réponse,https://www.linkedin.com/jobs/view/4242065495/?refId=69d4128a-d3f6-3d1c-8a61-987ec24f736e&eBP=CwEAAAGXO2-60CSqcmaImY9ftRiNfBFdBFmYJFZvkQ6uB0xQP96hwsK67ytXBEz00Etl8KaMs8z3H77ZP92ihfs6Rahz3XYYXum0LNzDYC1CjYPRCasyMtv7vvdqSb_eOJEbUIn7C_uoXuvGmvuAfD4_zpO7lGMEUcZMZzCg7kExmOmoVIWNrZl3sWCc5NPExTxdfg94Qzb8EHw8exb9HAavSCaVpaCNkapQPSiVJqlMJ7NZx86rfWox1TQHzjnKkbsNosEfbE0d2cch6mNwruDKdSJQtq-6MDPgfZmaJSqSiD49p6im_1C6JsEtccBmJASv6viUsKXTJ_PCqdrTaH7FsgHDYOO4Ylv0IanSGSHAVlHO_uVDdx3Oxkb3-Fm_mb70&trackingId=RzFcsEqM7FC1hfznz43Arw%3D%3D,2025-07-04,CV1,,Sisley,6.0,Data Analyst
Stagiaire Data Analyst,2025-06-04,Refus après entretien,https://www.linkedin.com/jobs/view/4240433586/?refId=uyQTtUIIRBCORzwY0fyzVA%3D%3D&trackingId=sXUv4KvZSk6glo1JgCDCXQ%3D%3D,,CV1,kader.danon@adevinta.com,Le Bon Coin,6.0,Data Analyst
Data Analyst,2025-06-04,Sans réponse,https://www.linkedin.com/jobs/view/4244477374/?refId=100e728f-183a-4a80-9716-0c1412b19965&trackingId=Odq6m2WKT7OO3fFNJT9knw%3D%3D,2025-07-04,CV1,marcantoine.sergeant@h4p.fr,Health for People,6.0,Data Analyst
Machine Learning Engineer,2025-06-03,Refus,https://apply.workable.com/cybelangel/j/6DB8DFA11C/,,CV1,,Cybel Angel,6.0,Data Scientist
Data Analyst Intern,2025-06-03,Sans réponse,https://www.welcometothejungle.com/fr/companies/united-heroes-group/jobs/data-analyst-intern_paris?q=6ccc8c3a524c98ea9853ccc139988deb&o=28f493ba-e6f6-49cc-88ef-525376d1b884,2025-07-03,CV1,,United Heroes,6.0,Data Analyst
STAGIAIRE DATA ENGINEER -DATA SCIENTIST,2025-06-03,Sans réponse,https://www.welcometothejungle.com/fr/companies/arte-charpentier/jobs/stagiaire-data-engineer-data-scientist_paris?q=6ccc8c3a524c98ea9853ccc139988deb&o=9427d133-a98e-4b11-be4c-8b8c61999086,2025-07-03,CV1,,Arte Charpentier,6.0,Data Engineer
Gestionnaire base de données,2025-06-03,Sans réponse,https://fr.indeed.com/viewjob?cmp=BME-FRANCE&t=Gestionnaire+Base+De+Données&jk=6594c94fbf755b28&q=gestionnaire+data&xpse=SoCZ67I3xbM5qt3Xrx0LbzkdCdPP&xfps=ed709fef-861f-4931-a7fe-e849ce7e86ac&xkcb=SoCI67M3xbM8mEUSAB0PbzkdCdPP&vjs=3&from=iaBackPress&applied=1&from=smart-apply,2025-07-03,CV1,,BME France,6.0,Autre
Responsable Gestionnaires de Données Clients,2025-06-03,Sans réponse,https://fr.indeed.com/viewjob?jk=5762f4f10a325520&tk=1isr27fn2jthf801&from=serp&vjs=3,2025-07-03,CV1,,Chubb Fire & Security,6.0,Autre
Gestionnaire de données,2025-06-03,Sans réponse,https://fr.indeed.com/viewjob?jk=34e7939e495b2639&tk=1isr25idem3qv86e&from=serp&vjs=3,2025-07-03,CV1,,SSP,6.0,Autre
Gestionnaire de données,2025-06-03,Sans réponse,https://fr.getraline.com/gestionnaire-de-donnees/,2025-07-03,CV1,,Getraline,6.0,Autre
Gestionnaire Data,2025-06-03,Refus,https://fr.indeed.com/viewjob?jk=1474f9cd56a1c892&tk=1iso423kkioij83r&from=serp&vjs=3,2025-07-22,CV1,,In Vivo,6.0,Autre
Junior Deep Learning R&D Engineer,2025-06-03,Refus,https://www.linkedin.com/jobs/view/4240798649/?eBP=CwEAAAGXNc7m8yyZ2_dvixmtPuhWotFDmwIQsjcbe57x6RASUXbE6QRoiCAaVJYXXQU0D5L6hRi2IDOCRVJL1KJiI0czIPxm7Rl61bgE_wVTkJkb21i1HP3SzYuzxlkAWiynB200u0lRk9Gz1FMG0GfNa2rfpVLdhZf-WSpzyMERnvk5qIeeP2ZRZ97PpHVwXijEIiTc2qot6NsS6vcPQzAKGBHjVXo3SGtCkkyEpqOZfGBwAAv2kdi3wQxGrX3yaXOtBc8K_PlFhGb4-wP9IrHyKUv7D0-dtMUfC4NyNtWqozp-qdmCuSDaGNlXSXzHMkKmH9L2Y1NdPlLVd9mE3CFXuQzomtCLB75E1lHx2fphtYv9pQhJFHzKuaL1RzgKK5MU1rk&refId=f641fbe1-a797-3198-b1f5-893816554d93&trackingId=7oqh5RlZB0yIO7Kf%2FW5tqA%3D%3D,,CV1,,Nintendo,6.0,Data Scientist
Data Analyst,2025-06-02,Refus,https://www.aresiarecrute.com/jobs/5673319-data-analyst-h-f?utm_source=LinkedIn,,CV1,,Aresia,6.0,Data Analyst
