Poste,Date de Soumission,État,Lien,Date de réponse,CV utilisé,Entreprise,Mois,Catégorie Poste,Catégorie Poste (LLM),Offre (texte),Compétences (LLM),airflow,aws,azure,bigquery,computer vision,databricks,dbt,docker,excel,gcp,git,hadoop,jenkins,kafka,keras,kubernetes,lightgbm,looker,metabase,mlflow,mongodb,nlp,pandas,postgres,power bi,python,pytorch,redshift,scikit-learn,snowflake,spark,sql,tableau,tensorflow
Data Analyst Junior,2025-07-16,Refus,https://www.linkedin.com/jobs/view/4267291411/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=T4vng95M2ScH0Zb0T3PaqA%3D%3D&trackingId=qkbMKLqgItcMzVV7qRGhaA%3D%3D&trk=flagship3_search_srp_jobs,2025-07-23,CV1,Keyence Corporation,7.0,Data Analyst,Data Analyst,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage Data & Tech,2025-07-16,Candidature envoyée,https://jobs.jobvite.com/groupm-emea/job/oRcYufwf,,CV1,WPP Media,7.0,Autre,Autre,"Stage Data & Tech F/H Description Dans un souci de clarté et d’accessibilité, nous avons choisi de ne pas utiliser l’écriture inclusive dans nos communications. WPP Media est fermement engagé en faveur de la diversité : nous valorisons l'inclusion et l'égalité, en considérant tous les candidats sans distinction d'identité de genre, d'origine ethnique ou de religion. Tous nos postes sont également ouverts aux personnes en situation de handicap. A propos de WPP Media : 🤔 WPP is the creative transformation company. Nous utilisons le pouvoir de la créativité pour construire un avenir meilleur pour nos collaborateurs, notre planète, nos clients et nos communautés. Pour plus d'informations, visitez wpp.com. WPP Media est le collectif média global de WPP. Dans un monde où les médias sont omniprésents nous regroupons la meilleure plateforme, les meilleurs talents et les meilleurs partenaires pour développer les solutions les plus innovantes, offrant une croissance inégalée à nos clients. Pour plus d'informations, visitez wppmedia.com. Chez WPP Media, nous croyons en la puissance de notre culture et de nos collaborateurs. C'est grâce à cette synergie que nous parvenons à créer des expériences véritablement exceptionnelles, tant pour nos clients que pour nos équipes internes. Pour réussir dans ce poste, il est fondamental d'incarner les valeurs essentielles qui unissent WPP et WPP Media : - Être Extraordinaire en favorisant un leadership collectif qui inspire une créativité véritablement transformationnelle. - Créer un environnement Ouvert en trouvant l'équilibre parfait entre l'épanouissement de nos collaborateurs et la satisfaction de nos clients, le tout fondé sur une confiance mutuelle. - Diriger avec Optimisme en stimulant activement la croissance et le développement pour mobiliser l'ensemble de notre organisation. Le contexte : 👀 Pour notre client Richemont, 3ème groupe mondial du Luxe, propriétaire des Maisons emblématiques Cartier, Van Cleef & Arpels, Piaget, Vacheron Constantin, Jaeger-LeCoultre, IWC Schaffhausen, Panerai, Dunhill and Montblanc… nous recherchons un(e) stagiaire pour venir renforcer notre équipe Data & Tech. Vos missions : 🎯 - Gérer les sources de données des campagnes publicitaires pour le client, incluant les connexions, la résolution des défaillances, le monitoring des alertes et le listing. - Animer les divers canaux de communication avec les membres des agences locales et communiquer sur des sujets Data & Tech (plateformes, process, documentation, conseils, etc.). - Promouvoir les bonnes pratiques en matière de qualité des données auprès des différentes équipes. - Développer et maintenir des relations avec les parties prenantes internes, en fournissant un soutien et une expertise en matière de données et des outils utilisés. - Accompagner les membres de l’agence dans l’adoption et l’utilisation des outils Data & Tech. - Assurer le respect des directives digitales globales de Richemont. Compétences requises : 💪 - En bac +4/+5 en école d’ingénieur ou de commerce spécialisation digitale, data, tech, à la recherche d'un stage de 5 mois minimum - Une passion pour les médias, la publicité et les nouvelles technologies. - Une bonne capacité d’analyse et d’interprétation des données et des chiffres - Des qualités de chef de projet : coordination, agilité et priorisation des sujets - Anglais : C1/C2 à l’oral et à l’écrit impératif (une deuxième langue serait un atout) - Outils : Excel (maîtrise des TCD et de RechercheX, Somme.si) - Connaissance de Google Analytics ou autre outil d’attribution La vie chez WPP Media et ses avantages ⭐ Notre engagement à façonner l'avenir des médias se manifeste par un soutien actif au développement professionnel de nos talents, les aidant à atteindre leur plein potentiel. Cette démarche s'accompagne d'une vision responsable dans nos stratégies d'investissement médiatique, reflétant ainsi notre double priorité : valoriser nos collaborateurs tout en adoptant des pratiques durables dans notre secteur. Les collaborateurs de WPP Media ont un accès privilégié aux réseaux internationaux de WPP Media et WPP, leur permettant de développer leurs passions, d'étendre leur réseau professionnel et de rester à la pointe des innovations en marketing et publicité. Nous disposons de ressources vastes et variées au service de nos collaborateurs, notre entreprise cultive activement l'inclusion des talents de tous horizons. Les réussites et expertises des équipes sont régulièrement mises en lumière lors d'événements fédérateurs qui ponctuent également les moments clés de l'année, renforçant ainsi notre culture d'entreprise collaborative et diversifiée. Ce que nous offrons : ❤️ - Une expérience professionnelle unique au sein d'une agence média renommée, où vous pourrez acquérir des compétences précieuses et développer votre réseau professionnel. - L'opportunité de travailler avec des clients de premier plan et de contribuer à la création de campagnes publicitaires de grande envergure. - Un accompagnement personnalisé pour tous les Padawans (stagiaires/alternants chez WPP Media) de votre intégration à votre départ … ou pas 😉 - Des déjeuners, cafés, afterworks ainsi que différents évènements qui rythmeront votre année chez nous. - Un tout nouveau campus à Levallois-Perret qui rassemble toutes les agences WPP (WPP Media et ses sœurs) au terminus de la ligne 3 ! 🤝Process de recrutement 🥇Entretien avec l’équipe recrutement : Un premier pré-entretien téléphonique de 5mn, puis un entretien de 30mn en visio-conférence par un membre de notre équipe recrutement. Cela nous permettra de mieux connaître vos compétences et votre expérience, et vous donnera l'occasion de poser des questions sur le poste et l'entreprise. 🥈Entretien opérationnel : Pour évaluer l'adéquation de vos compétences et de votre profil par rapport aux exigences du poste. 🥉Étude de cas : Une étude de cas vous sera proposée afin d’évaluer vos compétences techniques liées au poste. Une restitution vous sera proposée. Nous nous engageons à rendre ce process aussi rapide et efficace que possible, et à maintenir une communication ouverte et transparente tout au long du process. WPP Media garantit l'égalité des chances et considère tous les candidats sans discrimination ni considération de caractéristiques particulières. Nous nous engageons à cultiver un environnement de respect où chacun se sent à sa place et bénéficie des mêmes opportunités d'évolution professionnelle. Consultez notre politique de confidentialité pour tout savoir sur la protection de vos données politique de confidentialité. Bien que nous étudiions toutes les candidatures reçues, nous ne contactons que les personnes sélectionnées pour un entretien.",['excel'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Data Scientist Internship,2025-07-16,Candidature envoyée,https://apply.workable.com/withings/j/25FD9C98E0/,,CV1,Withings,7.0,Data Scientist,Data Scientist,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data analyst in Competitive/Business Intelligence,2025-07-16,Candidature envoyée,https://www.linkedin.com/jobs/view/4266654931/?trackingId=fMjnEXGuv1VXqqlhCqwE0g%3D%3D&refId=ByteString%28length%3D16%2Cbytes%3D0a63ec6f...6aac57a7%29&midToken=AQF6cDKQRpkL-Q&midSig=0oy9YO4hZfKrQ1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114-null-5mjdi4~md5r1vhx~1z-null-null&eid=5mjdi4-md5r1vhx-1z&otpToken=MTEwMTFlZTExYTI4Y2FjZGIyMjQwNGVkNDMxY2UxYjE4OGNiZDU0NzlmYWY4OTYxNzhjZTA4Njg0ZjU5NWFmNmY0ZGY5MmIyNzRjMmViYzA1MmJkMmZkN2M2OWEwNDE4MjQ5MzYwNzY2N2YwODM2MjU2ZTYsMSwx,,CV1,Servier,7.0,Data Analyst,Data Analyst,"We're signing you in Discover people, jobs, and more. If you remain on this page, you'll be signed in. Learn more Discover people, jobs, and more. If you remain on this page, you'll be signed in. Learn more",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,2025-07-16,Candidature envoyée,https://recruiterflow.com/licornesociety/jobs/14168?source=linkedin_basic&utm_channel=recruiterflow-posting&location=1,,CV1,Leonar,7.0,Data Analyst,Data Analyst,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice of Client Analyst,2025-07-15,Candidature envoyée,https://jobs.richemont.com/Richemont/job/Paris-Voice-of-Client-Analyst-HF-75/1194851901/?feedId=337801&utm_source=LinkedInJobPostings&utm_campaign=Richemont_LinkedIn,,CV1,Richemont,7.0,Autre,Autre,"Voice of Client Analyst H/F Paris, 75, FR Nous recherchons un Voice of Client (VoC) Analyst passionné(e) par l’exploitation des données clients pour générer des insights stratégiques et améliorer l’expérience client au sein du Groupe et de ses maisons. Vos Missions - Travailler main dans la main avec le VoC Manager pour soutenir le programme et la stratégie VoC - Co-construire des analyses à forte valeur ajoutée avec les maisons pour orienter la stratégie - Structurer et analyser les données VoC dans Google Cloud (BigQuery, Looker…) - Identifier de nouvelles sources de données et optimiser les workflows de traitement - Explorer les opportunités offertes par l’IA et la Gen AI pour enrichir les insights clients - Détecter les tendances clés et signaux faibles, y compris à partir de feedbacks non sollicités (réseaux sociaux, avis…) - Créer des dashboards dynamiques pour faciliter l’appropriation des insights et la prise de décision Correspondez-vous au profil ? - Vous avez au moins 3 ans d’expérience en data analysis ou customer insights - Vous maîtrisez Medallia et les outils data (BigQuery, Looker, SQL, Python…) - Vous savez structurer et optimiser des workflows de données - Vous êtes curieux(se) et à l’aise avec les technologies IA / Gen AI appliquées à la VoC - Vous avez un excellent sens du storytelling pour transformer les données en recommandations claires - Vous évoluez facilement dans un environnement dynamique, international et multi-interlocuteurs - Une expérience en agence « Consumer Insights » serait un vrai plus Ce Que Nous Offrons Pour Ce Poste Pour contribuer à une transformation data-driven à fort impact, dans un environnement international, stimulant et centré sur l’expérience client. Qu’est-ce qui différencie notre Groupe ? Notre véritable force ne réside pas dans nos similitudes, mais dans la riche diversité de nos arts, de nos cultures et de nos compétences humaines, ainsi que dans notre capacité spécifique à encourager les potentiels inexploités. - Nous valorisons la liberté, la collégialité, la loyauté et la solidarité. - Nous encourageons l’empathie, la curiosité, le courage, l’humilité et l’intégrité. - Nous prenons soin du monde dans lequel nous vivons","['bigquery', 'looker', 'python', 'sql']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
BI & Analytics Specialist,2025-07-15,Refus,https://pernodricard.wd3.myworkdayjobs.com/fr-FR/pernod-ricard/job/Paris/BI---Analytics-Specialist_JR-045393-1,,CV1,Pernot Ricard,7.0,Autre,Autre,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stage - Data Analyst,2025-07-15,Refus,https://tessan1.recruitee.com/o/stage-data-analyst-hf-3,,CV1,Tessan,7.0,Data Analyst,Data Analyst,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Product Data Analyst,2025-07-15,Refus,https://www.hellowork.com/fr-fr/emplois/68037003.html,,CV1,Matera,7.0,Data Analyst,Data Analyst,"CDI - Product Data Analyst Paris H/F Matera Paris 2e - 75 Stage- Télétravail partiel - Bac +5 - Secteur informatique • ESN Les missions du poste Pour accompagner cette croissance, nous recherchons un nouveau talent pour renforcer l'équipe Data. En tant que Product Data Analyst, tu seras en charge d'accompagner les équipes de développement produits dans leurs besoins d'analyses de données. Au programme : - Collaboration avec les product managers et product designers pour déterminer les analyses à faire et les métriques pertinentes, - Définition du plan de tracking des actions des utilisateurs, - Transformation, modélisation et contrôle qualité des données dans notre data-warehouse (analytics engineering), - Exposition des données dans notre outil de BI (Looker) pour permettre leur utilisation en partielle autonomie par les équipes produit, - Création de dashboards de suivi des KPIs principaux sur l'utilisation des fonctionnalités du produit, - Réalisation d'études ad hoc sur l'amélioration du produit (comportement de l'utilisateur, nouvelles fonctionnalités à développer, déterminants de la satisfaction des utilisateurs, etc), - Support des squads produit dans l'utilisation et la création de dashboards, - Support des autres équipes dans leurs besoins de compréhension et d'utilisation de données produit (bases de données et événements). Notre stack technique : - BI : Looker - Data warehouse : BigQuery - Transformation de données : DBT - Tracking : Segment Les avantages : Les plus : - Package : 55-65K€ selon profil et expérience, - 2 semaines d'onboarding pour comprendre le fonctionnement et les valeurs de Matera, et un onboarding spécifique à ton métier, - Un career path pour t'accompagner dans ton évolution professionnelle : accompagnement hebdomadaire par taon manager, 2 performances reviews par an, et politique de mobilité interne, - Politique de rémunération et de BSPCEs transparente, - Politique d'accompagnement à la parentalité : une reprise en douceur à 80% pendant 4 semaines (payées à 100%), ainsi que 5 jours de congés supplémentaires par an pour enfant malade, - Temps de Trajet Responsable (TTR) : 1 jour de congé supplémentaire par an, découpable en 2 demi-journées et rémunéré comme un congé payé, pour inciter à choisir des modes de transports responsables, - Congés menstruels : 1 jour de congé payé supplémentaire par mois, pour mieux gérer les règles douloureuses, - Sport : accès à Gymlib pour faire du sport à petits prix, - Des bons plans culture avec la plateforme Leeto (réductions cinéma, musées, parcs d'attraction...). La base légale : - Congés payés et RTT (selon statut) - Mutuelle & Carte Swile - pris en charge à 50% - Prise en charge de la prévoyance à 100% - Prime vacances (SYNTEC) - Prise en charge des transports à 50% - Un ordinateur et équipements te seront fournis Les informations pratiques : - Localisation : Paris 2e - Télétravail : 2 jours de présence au bureau - Type de contrat : CDI, - Statut : cadre Le profil recherché Tu as au moins 4 ans d'expérience en tant que Product Data Analyst sur un produit SaaS qui te permettent de : - Comprendre en profondeur un produit SaaS et la manière dont les fonctionnalités sont liées au modèle de base de données - Comprendre comment mesurer le succès de nos fonctionnalités - Comprendre et challenger les processus complexes - Savoir définir un plan de suivi des actions des utilisateurs - Avoir une bonne communication, d'aider et de former les équipes internes, à utiliser les données d'une bonne manière - Avoir une bonne expertise en SQL, en modélisation de données, et sur les outils BI de référence (Looker, Tableau, QlikSense, Mode, etc.) Bonus si tu maîtrises des outils de dev (git, vscode) Bienvenue chez Matera Depuis sa création en 2017, Matera a développé 3 plateformes web et mobile en France et en Allemagne. - Paris 2e - 75 - Stage Créez une alerte Pour être informé rapidement des nouvelles offres, merci de préciser les critères : Finalisez votre candidature sur le site du recruteur Créez votre compte pour postuler sur le site du recruteur ! sur le site du recruteur sur le site du recruteur ! Ces offres pourraient aussi vous intéresser Recherches similaires - Emploi Data analyst - Emploi Informatique - Emploi Développeur - Emploi Technicien support informatique - Emploi Technicien informatique - Emploi DevOps - Emploi Développeur Java - Entreprises Informatique - Stage Informatique - Entreprises Data analyst - Entreprises Paris - Stage Paris - Stage Paris - Stage Data analyst - Stage Data analyst Paris - Emploi Data - Emploi Teletravail - Emploi Manager - Emploi Charge - Emploi Bureau - Emploi Teletravail Paris - Emploi Data Paris {{title}} {{message}} {{linkLabel}}","['bigquery', 'dbt', 'git', 'looker', 'sql', 'tableau']",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Business Analyst Data,2025-07-15,Candidature envoyée,https://www.hellowork.com/fr-fr/emplois/67375564.html,,CV1,Lgis Hotel,7.0,Data Analyst,Data Analyst,"Business Analyst Data H/F GROUPE LOGIS HÔTELS Paris 13e - 75 CDI- 40 000 - 45 000 € / an - Télétravail partiel - Bac +3, Bac +4 - Bac +5 - Tourisme • Hôtellerie • Loisirs - Exp. 1 à 7 ans - Exp. + 7 ans Les missions du poste Qui sommes-nous ? Créateur d'expériences de séjours et de gastronomie depuis 70 ans, le groupe LOGIS HOTELS est la première chaîne de restaurateurs-hôteliers indépendants en Europe avec plus de 2000 hôtels répartis dans 8 pays et 6 marques (Singuliers Hôtels, Demeures & Châteaux, Logis Hotels, Auberges de Pays, Cit'hotel et Urban Style). Le volume d'affaires de LOGIS HOTELS est d'1,3 milliards d'Euros. Tel un trait d'union entre les campagnes et les villes, l'ultra-local et le monde, le groupe LOGIS HOTELS construit chaque jour, main dans la main avec ses adhérents, une hôtellerie moderne, déstandardisée et durable qui affirme son engagement social et environnemental. Pourquoi nous rejoindre ? Devenir salarié du Groupe Logis Hôtels, c'est avoir la chance d'intégrer le premier employeur de la CHR et de travailler auprès d'une grande diversité de clients au sein d'une équipe humaine et engagée. Ne passez pas à côté de cette opportunité ! Vous êtes à l'aise avec les besoins métiers et les flux de données ? Rejoignez-nous pour connecter e-commerce et data au sein d'un groupe engagé. Nous recherchons un(e) Business Analyst Data pour rejoindre la Direction des Systèmes d'Information au sein d'une équipe d'experts techniques et fonctionnels. Vous serez un lien essentiel entre les équipes métiers et les équipes techniques, en particulier sur les projets liés à l'e-commerce, mais également sur d'autres projets transverses. · Recueillir et formaliser les besoins métiers en contribuant à la rédaction des expressions de besoin · Rédiger des spécifications fonctionnelles détaillées à destination des équipes techniques lorsque nécessaire. · Préparer, puis réaliser la recette fonctionnelle et technique des livrables · Observer et tester les échanges de données à l'aide d'outils comme Postman (API) ou ClicData (ETL/BI). · Participer aux comités projets, notamment ceux liés au web · Documenter les flux, les schémas de données et les règles de gestion associées. Nos étapes de recrutement Les étapes de recrutement peuvent varier selon l’offre à laquelle vous postulez. - Sélection des CV par le DRH ou le Gérant : compétences, expériences et adéquation au poste - Entretien téléphonique ou en viso-conférence selon le poste - Entretien en présentiel au sein de l'entreprise - Proposition d'embauche L'adresse du poste Localisez l'entreprise et calculez votre temps de trajet en un clic ! Calculer mon temps de trajet Le profil recherché * Une bonne compréhension des échanges via webservices (formats JSON/XML) est requise * La maîtrise d'un outil ETL ou BI (ClicData dans l'idéal) serait appréciée * Des notions de SQL (requêtes, jointures, agrégats, etc.) sont nécessaires * Des bases en modélisation de données (cartographies, dictionnaires de données...) sont un vrai plus * La maîtrise de la suite Microsoft 365, de Redmine et de FileZilla est requise * Vous êtes titulaire à minima d'un Bac +3 à Bac +5 en systèmes d'information, data ou numérique. * Vous avez au moins 2 ans d'expérience en analyse fonctionnelle et gestion des données * Vous avez une vraie compréhension des flux de données, des webservices et des outils ETL et BI * Dans l'idéal vous avez une connaissance des environnements e-commerce ou digitaux * Vous faites preuve d'un esprit d'analyse, de rigueur et d'aisance relationnelle *Poste basé à Paris (13ème) et télétravail possible * CDI cadre forfait jours * 8 semaines congés * Participation salariale * Tickets restaurant * Mutuelle entreprise * De nombreux avantages Raisons de nous rejoindre - Développer vos compétences avec l’Académie du groupe Logis Hôtels - Bénéficier d’un Comité d’Entreprise avec de nombreux avantages - Participer à une aventure humaine et soucieuse de son environnement - Construire votre carrière dans des établissements différents - Développer sa carrière en France comme à l’international Bienvenue chez GROUPE LOGIS HÔTELS Premier collectif d'hôteliers-restaurateurs avec plus de 2000 établissements uniques en Europe, le Groupe Logis Hôtels soutient les acteurs locaux et participe au dynamisme des territoires depuis près de 75 ans. Créateur d'expériences et doté d'un fort ancrage territorial, le groupe est engagé pour défendre une hôtellerie plus responsable et dé-standardisée qui valorise les savoir-faire locaux, déploie de nouveaux services et s'investit dans la formation et le développement des compétences, pour répondre à toutes les envies et tous les besoins. Avec un portefeuille de 6 marques (Singuliers Hôtels, Demeures & Châteaux, Logis Hôtels, Cit'Hotel, Urban Style et Auberge de Pays), le groupe représente 2200 établissements répartis dans 9 pays. - Paris 13e - 75 - CDI Créez une alerte Pour être informé rapidement des nouvelles offres, merci de préciser les critères : Finalisez votre candidature sur le site du recruteur Créez votre compte pour postuler sur le site du recruteur ! sur le site du recruteur sur le site du recruteur ! Ces offres pourraient aussi vous intéresser Recherches similaires - Emploi Business analyst - Emploi Audit - Emploi Auditeur comptable - Emploi Auditeur financier - Emploi Chef de mission audit - Emploi Auditeur interne - Emploi Contrôleur financier - Entreprises Audit - Entreprises Business analyst - Entreprises Paris - Emploi Junior - Emploi Teletravail - Emploi Data - Emploi Numérique - Emploi Europe - Emploi Cdi Paris - Emploi Teletravail Paris - Emploi Data Paris {{title}} {{message}} {{linkLabel}}",['sql'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Data Analyst / Data Engineer – Stage,2025-07-15,Refus,https://www.welcometothejungle.com/fr/companies/vente-unique/jobs/data-analyst-data-engineer-stage-h-f_paris_VENTE_OyXJXJq,,CV1,vente-unique.com,7.0,Data Engineer,Data Engineer,"Cette offre n’est plus disponible. Résumé du poste Stage Paris Télétravail occasionnel Salaire : 1,2K à 1,4K € par mois Début : 31 août 2025 Expérience : > 1 an Éducation : Bac +5 / Master Compétences & expertises Gestion des entretiens Compétences en communication Compétences en mécanique Mysql Mongodb +6 Questions et réponses sur l'offre Nous recherchons un.e Ingénieur Data en stage pour rejoindre notre service Data, rattaché directement à notre Head of Data. À la frontière entre les métiers de Data Engineer et de Data Analyst, tu seras amené.e à la fois à développer des pipelines d’acquisition de données et à réaliser des dashboards avec nos équipes métiers (Appros, Marketing, Marketplace, Service Client, Logistique, Finance). 🚀 Orienté.e business, tu creuses les besoins des équipes métiers pour structurer ton projet Data avant de le développer : - Prise en compte & challenge des besoins - Définition de la solution adéquate (Dashboard, alertes, LLM, ..) - Modélisation, anticipation des difficultés techniques et développement - Suivi de l’usage et mesure de la valeur générée pour l’entreprise 🚀 Ingénieux.se et avide d’apprendre, tu trouves toujours un moyen d’obtenir les données dont tu as besoin, même si cela signifie te plonger dans des langages de développement ou outils que tu ne maîtrises pas encore. 🚀 Tu contribues à la diffusion de la culture data, à la documentation de la connaissance et à la montée en compétence de tous tes collègues sur Power BI. Tu pourrais être amené.e à traiter de sujets tels que : - Créer un modèle de donnée à partir de notre base clients pour améliorer notre politique de fidélisation client. - Créer un script Python/SnowSQL pour rapatrier les données d’un système informatique tiers vers notre data platform (Snowflake). - Enrichir les modèles/dashboards existants pour permettre de nouveaux use cases. - Créer un algorithme en vue de suggérer aux équipes marketing la liste des produits qu’il serait pertinent de mettre dans la prochaine vague de promotions. - Analyser les projections de stock pour suivre des capacités de de stockage, en intégrant l’entrepôt que nous sommes en train de construire à Moulins. - Stack : Snowflake, Power BI, Python, Jenkins, MySQL, MongoDB, SQL Server, API, Jira. TA TEAM : Eliott, Head of Data, sera ton tuteur pour cette nouvelle aventure. Tu auras aussi l’occasion de travailler avec Alban et Erwan, Ingénieurs Data depuis un an chez nous. Prêt.e à rejoindre une équipe dynamique qui vous écoutera vraiment et vous confiera des responsabilités dès le premier jour ? 💪 Etudiant.e en école d’ingénieur, tu prépares ta dernière année et tu souhaites un stage de fin d’études. Tu disposes d’une première expérience en data 💻 Nous avons besoin de quelqu’un qui matche avec nos valeurs : esprit d’équipe, convivialité, performances et satisfaction client ! On attend de toi : - Tu as déjà fait du SQL et du Python dans un contexte de cloud data platform (Idéalement Snowflake) - Tu as déjà fait de la modélisation et de la visualisation de données (Idéalement Power BI) - Tu échanges volontiers avec le métier, tu simplifies si nécessaire et tu restitues simplement et clairement - Tu as l’esprit d’équipe et tu as une bonne communication qui rend tes échanges fluides - Tu es autonome, dynamique, rigoureux et motivé.e ! - You’re fluent in english Aussi, on espère que tu as un fort attrait pour l’univers du e-commerce et de l’aménagement de la maison ! 🛍️ Le petit mot du Manager : “🤝 Rejoins-nous si : - Tu apprécies un management de proximité, où ton responsable est toujours disponible pour t’accompagner et répondre à tes questions. - Tu sais profiter des pauses déjeuner, surtout autour d’un bon menu mix grill au resto libanais !” Le processus de recrutement : Il se déroule généralement en 3 étapes principales : 1- Pré-qualification téléphonique 2- Test de personnalité en ligne 3- Entretien RH en visio avec Axel, Talent Acquisition Specialist (motivation et personnalité) 4- Entretien Manager avec Eliott, ton futur tuteur (orienté métier/technique) Conditions & Avantages : - Type de contrat : Stage de 6 mois - À pourvoir dès Septembre 2025 - 1 jour de télétravail par semaine (dès la fin de tes 2 premiers mois) - Rémunération selon grille - Une carte tickets restaurant (Swile, prise en charge à 50%) - Remboursement à 50% de l’abonnement Navigo - Dog friendly 🐶 - Localisation : Poste basé à 800m de Paris métro ligne 5 station Hoche ou tram ligne 3 ou bus 🚇 Tu hésites encore ? Si on matche ensemble ❤️ Tu vas bénéficier de : - De 3 belles terrasses aménagées, idéales pour les déjeuners au soleil et les pauses café. - L’accès à la vente au personnel à prix réduit. - De boissons chaudes à volonté : du bon café à grains & des thés/infusions. - Une salle de sport, des flippers, un babyfoot et des compétitions de ping-pong. - Des corbeilles de fruits bio. - La journée de solidarité offerte ! - Des sessions sports organisées par notre CSE (à toi les cours de cardio fitness et le yoga 🧘). - Et surtout une expérience de travail qui deviendra inoubliable ! Vente-unique.com est un employeur garantissant l’égalité des chances, ce qui signifie que nous nous engageons à ne pas discriminer les employés en fonction de leurs origines, de la religion, du sexe, de l’origine nationale, de l’âge, du handicap ou des informations génétiques. Si des aménagements raisonnables sont nécessaires pour le processus, n’hésitez pas à en discuter avec l’équipe recrutement.","['jenkins', 'mongodb', 'power bi', 'python', 'snowflake', 'sql']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
